device_id,conductance_mode,experiment_type,crossbar_size,requested_weight_bits,adc_bits,original_gmin,original_gmax,original_on_off_ratio,conductance_scale_factor,scaled_gmin,scaled_gmax,scaled_on_off_ratio,effective_weight_levels,max_abs_output_difference,mean_abs_output_difference,argmax_same,levels_same,numerical_tolerance,scale_invariance_pass,scientific_interpretation,limitation
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,10.0,2.0,10.0,5.0,15,4.76837158203125e-07,1.0125222615897655e-07,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,100.0,20.0,100.0,5.0,15,4.76837158203125e-07,1.1184602044522762e-07,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
HfOx_02,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.2,1.0,5.0,1000.0,200.0,1000.0,5.0,15,5.066394805908203e-07,1.2147938832640648e-07,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,0.001,1.25e-05,0.001,80.0,15,3.5762786865234375e-07,6.111804395914078e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,0.01,0.000125,0.01,80.0,15,2.384185791015625e-07,4.815228749066591e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,0.1,0.0012500000000000002,0.1,79.99999999999999,15,2.384185791015625e-07,4.752655513584614e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,1.0,0.0125,1.0,80.0,15,0.0,0.0,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,10.0,0.125,10.0,80.0,15,2.980232238769531e-07,4.8370566219091415e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,100.0,1.25,100.0,80.0,15,2.384185791015625e-07,4.2273313738405704e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
TiOx_03,ANALOG,ABSOLUTE_CONDUCTANCE_SCALE_ABLATION,32,4,6,0.0125,1.0,80.0,1000.0,12.5,1000.0,80.0,15,2.086162567138672e-07,4.4819898903369904e-08,True,True,1e-05,True,Tests whether the current simulator is invariant to absolute conductance scale when ON/OFF ratio is preserved.,"Does not imply real hardware is independent of absolute conductance; IR drop, line resistance, power and sensing effects are not modeled here."
