device_id,study_id,property_name,value,unit,value_type,source_title,doi,page,figure_or_table,source_note
TiOx_02_Au,10.1038/s41598-019-44607-3,switching_mechanism,INTERFACIAL_SCHOTTKY,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6-10,Figures 2-4; Table II,Transport controlled by Schottky barriers; resistance switching from barrier modulation
TiOx_02_Au,10.1038/s41598-019-44607-3,forming_voltage_range,8-12,V,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,5,Table I,Compliance-free pulse forming range
TiOx_02_Au,10.1038/s41598-019-44607-3,forming_pulse_width,1,us,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,5,Table I,Pulse width for Au top-electrode device
TiOx_02_Ni,10.1038/s41598-019-44607-3,active_material,TiO2-x,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Amorphous TiO2-x active layer
TiOx_02_Ni,10.1038/s41598-019-44607-3,thickness_nm,24.1 ± 0.27,nm,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Measured TiO2-x thickness across wafer
TiOx_02_Ni,10.1038/s41598-019-44607-3,conductance_mode,GRADUAL_MULTILEVEL,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,"1,10",Abstract; Discussion,Gradual SET/RESET attributed to interfacial barrier modulation; no abrupt filamentary transition
TiOx_02_Ni,10.1038/s41598-019-44607-3,conductance_states,,,NOT_REPORTED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,1-12,Full article review; no fixed state-count figure/table reported,No fixed conductance-state count reported for this device
TiOx_02_Ni,10.1038/s41598-019-44607-3,switching_mechanism,INTERFACIAL_SCHOTTKY,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6-10,Figures 2-4; Table II,Transport controlled by Schottky barriers; resistance switching from barrier modulation
TiOx_02_Ni,10.1038/s41598-019-44607-3,forming_voltage_range,8-12,V,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,5,Table I,Compliance-free pulse forming range
TiOx_02_Ni,10.1038/s41598-019-44607-3,forming_pulse_width,1000,us,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,5,Table I,Pulse width for Ni top-electrode device
TiOx_02_Pt,10.1038/s41598-019-44607-3,active_material,TiO2-x,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Amorphous TiO2-x active layer
TiOx_02_Pt,10.1038/s41598-019-44607-3,thickness_nm,24.1 ± 0.27,nm,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,12,Methods,Measured TiO2-x thickness across wafer
TiOx_02_Pt,10.1038/s41598-019-44607-3,conductance_mode,GRADUAL_MULTILEVEL,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,"1,10",Abstract; Discussion,Gradual SET/RESET attributed to interfacial barrier modulation; no abrupt filamentary transition
TiOx_02_Pt,10.1038/s41598-019-44607-3,conductance_states,,,NOT_REPORTED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,1-12,Full article review; no fixed state-count figure/table reported,No fixed conductance-state count reported for this device
TiOx_02_Pt,10.1038/s41598-019-44607-3,switching_mechanism,INTERFACIAL_SCHOTTKY,,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6-10,Figures 2-4; Table II,Transport controlled by Schottky barriers; resistance switching from barrier modulation
TiOx_02_Pt,10.1038/s41598-019-44607-3,forming_voltage_range,8-12,V,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,5,Table I,Compliance-free pulse forming range
TiOx_02_Pt,10.1038/s41598-019-44607-3,forming_pulse_width,500-750,us,EXPERIMENTAL,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,5,Table I,Pulse width for Pt top-electrode device
TiOx_03,10.1016/j.spmi.2017.10.031,device_stack,Cu/anodic-TiO2/Ti,,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,3-4,Figure 1,"Cu top electrode, anodic TiO2 active layer, Ti bottom electrode"
TiOx_03,10.1016/j.spmi.2017.10.031,active_material,anodic TiO2,,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,2-4,Main text / experimental description,Anodically grown titanium dioxide active film
TiOx_03,10.1016/j.spmi.2017.10.031,thickness_nm,29 ± 5%,nm,DERIVED_FROM_FABRICATION,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,5,Table 1,S2 is the thickest oxide sample and matches the device with ROFF/RON about 80
TiOx_03,10.1016/j.spmi.2017.10.031,device_area,2 x 2,um^2,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,11,Figure 5; Conclusions,Best ROFF/RON about 80 obtained for 2 x 2 um2 S2 devices
TiOx_03,10.1016/j.spmi.2017.10.031,conductance_mode,ANALOG,,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,"7,10","Figures 3,5-6",SET and RESET are gradual; paper states behavior is typical of an analog device
TiOx_03,10.1016/j.spmi.2017.10.031,conductance_states,,,NOT_REPORTED,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,10-11,Figure 6,"Multiple resistance states are observed, but no fixed state count is reported"
TiOx_03,10.1016/j.spmi.2017.10.031,on_off_ratio,80,,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,11,Figure 5; Conclusions,Best ROFF/RON achieved for 2 x 2 um2 device of S2
TiOx_03,10.1016/j.spmi.2017.10.031,resistance_measurement_voltage,-1.3,V,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,9,Figure 5,RON and ROFF values were measured at -1.3 V
TiOx_03,10.1016/j.spmi.2017.10.031,forming_required,NO,,EXPERIMENTAL,Resistive Switching in Microscale Anodic Titanium Dioxide-Based Memristors,10.1016/j.spmi.2017.10.031,7,Figure 3 discussion,Memristive effect observed without a preliminary forming cycle
TaOx_01,10.1038/s41598-017-18329-3,device_stack,Pt/W/TaOx/Pt,,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,2,Figure 1,Device stack is 25 nm Pt / 13 nm W / 7 nm TaOx / 30 nm Pt
TaOx_01,10.1038/s41598-017-18329-3,thickness_nm,7,nm,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,2,Figure 1,TaOx switching-layer thickness
TaOx_01,10.1038/s41598-017-18329-3,device_area,2 x 2,um^2,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,2,Figure 1,Cross-point cell size
TaOx_01,10.1038/s41598-017-18329-3,conductance_mode,DISCRETE_MULTILEVEL,,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2,Paper demonstrates reproducible multilevel resistive states
TaOx_01,10.1038/s41598-017-18329-3,conductance_states,7,,DERIVED,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2(b),"Derived directly from paper text: Figure 2(b) reports one low-resistance state (LRS) plus six multilevel resistive states, giving 7 total physical resistance states. Figure 2(c) R0-R4 is a subset used for the multivalued-logic demonstration."
TaOx_01,10.1038/s41598-017-18329-3,read_voltage,0.1,V,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2,Resistance states read using 0.1 V pulse
TaOx_01,10.1038/s41598-017-18329-3,read_pulse_width,120,us,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2,Read pulse duration
TaOx_01,10.1038/s41598-017-18329-3,programming_pulse_width,200,ns,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2,RESET multilevel programming pulse width
TaOx_01,10.1038/s41598-017-18329-3,reset_voltage_range,-1.4 to -2.2,V,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2,Applied amplitude range for multilevel state control
ZnO_01,10.3390/electronics7120445,device_stack,Ag/ZnO/FTO,,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,4,Main text / device description,"Ag top electrode, ZnO active layer, FTO bottom electrode"
ZnO_01,10.3390/electronics7120445,active_material,ZnO,,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,4,Main text / device description,ZnO is the active memristive layer
ZnO_01,10.3390/electronics7120445,film_thickness,34,um,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,4,Figure 3(a),Cross-sectional SEM gives ZnO film thickness of 34 um
ZnO_01,10.3390/electronics7120445,crystallite_size,62,nm,DERIVED,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,4,Figure 3(b),Average ZnO crystallite size calculated from XRD using Scherrer relation
ZnO_01,10.3390/electronics7120445,conductance_mode,DISCRETE_BINARY,,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5-6,Figure 4,Paper reports two distinct and well-resolved HRS and LRS resistance states
ZnO_01,10.3390/electronics7120445,conductance_states,2,,REPORTED,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5-6,Figure 4,Two distinct resistance states: HRS and LRS
ZnO_01,10.3390/electronics7120445,set_voltage,0.8,V,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5,Figure 4(a),Device switches from HRS to LRS near +0.8 V
ZnO_01,10.3390/electronics7120445,reset_voltage,-0.8,V,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5,Figure 4(a),Device switches from LRS to HRS near -0.8 V
ZnO_01,10.3390/electronics7120445,read_voltage,0.2,V,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5-6,Figure 4(c-d),Resistance states measured using 0.2 V read pulse
ZnO_01,10.3390/electronics7120445,memory_window,1000,HRS/LRS,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5-6,Figure 4(c-d),Reported HRS/LRS memory window is 10^3
ZnO_01,10.3390/electronics7120445,switching_mechanism,Ag_FILAMENT_FORMATION_RUPTURE,,EXPERIMENTAL,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,8-9,Figures 6-7,Bipolar switching attributed to formation and rupture of Ag conductive filament
HfOx_01,10.1109/TNANO.2024.3485213,device_stack,TiN/Ti/HfO2/W,,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1(a),Investigated device cross section
HfOx_01,10.1109/TNANO.2024.3485213,active_material,HfO2,,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1(a),HfO2 is the resistive switching dielectric
HfOx_01,10.1109/TNANO.2024.3485213,thickness_nm,10,nm,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1(a),HfO2 layer thickness
HfOx_01,10.1109/TNANO.2024.3485213,device_area,5 x 5,um^2,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1(a),Active device area
HfOx_01,10.1109/TNANO.2024.3485213,conductance_states,,,NOT_REPORTED,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,13-14,Figures 1-2,No fixed physical conductance-state count is reported
HfOx_01,10.1109/TNANO.2024.3485213,forming_voltage,~3.5,V,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1,Fresh devices formed near 3.5 V with 1 mA compliance
HfOx_01,10.1109/TNANO.2024.3485213,read_voltage,-0.2,V,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14-15,Figures 1-2,HRS and LRS currents evaluated at -0.2 V
HfOx_01,10.1109/TNANO.2024.3485213,switching_mechanism,OXYGEN_VACANCY_FILAMENT,,EXPERIMENTAL,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,14,Figure 1 discussion,HRS-LRS transitions related to formation and destruction of vacancy-formed filamentary structure
TiOx_01,10.1186/1556-276X-9-293,device_stack,Pt/TiO2/Pt,,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20-21,Figure 1,Pt top and bottom electrodes with TiO2 active layer
TiOx_01,10.1186/1556-276X-9-293,active_material,TiO2,,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20,Main text / device description,Stoichiometric TiO2 active layer
TiOx_01,10.1186/1556-276X-9-293,thickness_nm,31,nm,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20,Main text / device description,Total TiO2 layer thickness is 31 nm
TiOx_01,10.1186/1556-276X-9-293,device_area,5 x 5,um^2,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20-21,Figure 1,Tested stand-alone crossbar active area
TiOx_01,10.1186/1556-276X-9-293,switching_mode,UNIPOLAR,,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,21,Figure 1,Stochastic switching experiment investigated under unipolar mode
TiOx_01,10.1186/1556-276X-9-293,conductance_mode,UNKNOWN,,NOT_REPORTED,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20-23,Figures 1-3,Paper discusses HRS and LRS and stochastic filament distributions but does not define a fixed physical conductance-state mode
TiOx_01,10.1186/1556-276X-9-293,conductance_states,,,NOT_REPORTED,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20-23,Figures 1-3,No fixed physical conductance-state count is reported
TiOx_01,10.1186/1556-276X-9-293,read_voltage,0.5,V,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,21,Figure 1(e),Resistance evaluated with a 0.5 V pulse
TiOx_01,10.1186/1556-276X-9-293,programming_pulse,"4 V, 10 us",,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,21,Figure 1(e),Stochastic switching measurements used 4 V programming pulses of 10 us
TiOx_01,10.1186/1556-276X-9-293,switching_mechanism,TiO2-x_FILAMENT_FORMATION_RUPTURE,,EXPERIMENTAL,Stochastic switching of TiO2-based memristive devices with identical initial memory states,10.1186/1556-276X-9-293,20-23,Figures 1-3,Switching attributed to formation and rupture of reduced TiO2-x conductive filamentary paths
ZnO_02,10.32508/stdj.v16i1.1422,device_stack,Ag/ZnO/Ti/Glass,,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82,Figure 1,"Ag top electrode, ZnO switching layer, Ti bottom electrode on glass"
ZnO_02,10.32508/stdj.v16i1.1422,active_material,ZnO,,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82,Figure 1 / Experimental section,ZnO thin film is the resistive switching layer
ZnO_02,10.32508/stdj.v16i1.1422,thickness_nm,100,nm,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82,Experimental section,ZnO layer thickness
ZnO_02,10.32508/stdj.v16i1.1422,bottom_electrode_thickness,150,nm,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82,Experimental section,Ti bottom electrode thickness
ZnO_02,10.32508/stdj.v16i1.1422,top_electrode_thickness,75,nm,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82,Experimental section,Ag top electrode thickness
ZnO_02,10.32508/stdj.v16i1.1422,conductance_mode,DISCRETE_BINARY,,DERIVED,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82-84,Figures 2-4,Simulator classification derived from experimentally observed HRS/OFF and LRS/ON switching; not terminology stated directly by the paper
ZnO_02,10.32508/stdj.v16i1.1422,conductance_states,2,,DERIVED,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82-84,Figures 2-4,Two-state simulator abstraction derived from experimentally observed HRS and LRS; not claimed as a separately measured fixed state capacity
ZnO_02,10.32508/stdj.v16i1.1422,switching_mode,UNIPOLAR,,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,83-84,Figures 2-3,Switching depends on voltage magnitude rather than polarity
ZnO_02,10.32508/stdj.v16i1.1422,set_voltage,0.42,V,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,82-83,Figures 2-3,HRS to LRS transition around 0.42 V
ZnO_02,10.32508/stdj.v16i1.1422,reset_voltage,0.55,V,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,83,Figures 2-3,LRS to HRS transition around 0.55 V
ZnO_02,10.32508/stdj.v16i1.1422,read_voltage,0.25,V,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,84,Figure 4,HRS and LRS currents read at 0.25 V
ZnO_02,10.32508/stdj.v16i1.1422,on_off_ratio,>5,HRS/LRS,EXPERIMENTAL,Resistance Switching Behavior of ZnO Thin Films for Random Access Memory Applications,10.32508/stdj.v16i1.1422,84,Figure 4,Reported current ratio between HRS and LRS is above 5
TaOx_01,10.1038/s41598-017-18329-3,ron_ohm,1100,ohm,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2(c),LRS mean resistance = 1.1 kOhm; Figure 2(c) states means are based on 4 devices and 10 cycles per state
TaOx_01,10.1038/s41598-017-18329-3,roff_ohm,3200000,ohm,EXPERIMENTAL,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2(c),R4 mean resistance = 3.2 MOhm; Figure 2(c) states means are based on 4 devices and 10 cycles per state
TaOx_01,10.1038/s41598-017-18329-3,on_off_ratio,2909.09,R4/LRS,DERIVED,Multi-valued and Fuzzy Logic Realization using TaOx Memristive Devices,10.1038/s41598-017-18329-3,3,Figure 2(c),Derived from 3.2e6 ohm / 1.1e3 ohm = 2909.09
HfOx_02,10.1088/2634-4386/ac7327,on_off_ratio,5.0,HRS/LRS,ASSUMED,Neuromorphic computing with multi-memristive synapses using TiN/Ti/HfO2/TiN devices,10.1088/2634-4386/ac7327,6,Figure 2,Conservative simulator input derived from the experimentally reported memory window >5. The paper does NOT report an exact ON/OFF ratio of 5.0; 5.0 is used as a lower-bound modeling approximation.
ZnO_01,10.3390/electronics7120445,on_off_ratio,1000,HRS/LRS,DERIVED,Solution-Processable ZnO Thin Film Memristive Device for Resistive Random Access Memory Application,10.3390/electronics7120445,5-6,Figure 4(c-d),Simulator ON/OFF ratio derived directly from the reported memory window HRS/LRS ≈ 10^3. This does not introduce a new measured value; it maps the paper terminology to the simulator parameter name.
TiOx_02_Au,10.1038/s41598-019-44607-3,ron_ohm,9551.04,ohm,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2a,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2a, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. RON is the lower of the two derived branch resistances."
TiOx_02_Au,10.1038/s41598-019-44607-3,roff_ohm,16293.87,ohm,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2a,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2a, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. ROFF is the higher of the two derived branch resistances."
